
[-731.484924316, 157.664550781, 21.6440124512, 91.3090057373, 53.022403717, 47.0670471191, 45.1461868286, 19.9225711823, 17.0507087708, 2.67980957031, 17.1744346619, 27.0648212433, 22.9355278015]

[-746.154907227, 160.866333008, 41.2106666565, 88.8543395996, 46.6222877502, 33.8376159668, 17.7133827209, 10.611574173, 23.6336479187, -2.28881835938e-05, 12.5446510315, 34.5835037231, 14.1329078674]

[-818.683898926, 209.095031738, 85.2437133789, 123.158760071, 55.6228065491, 17.0988311768, 41.2396011353, 27.1734867096, 21.0777931213, 22.4519672394, 12.9077339172, 19.5364780426, 32.3884544373]

[-831.449523926, 195.002838135, 97.3817367554, 106.818260193, 63.5441017151, 35.8292961121, 4.72291946411, 45.626121521, 22.0538215637, 19.36170578, 20.1967201233, 25.8063411713, 25.4922027588]

[-792.749023438, 199.449005127, 102.217895508, 118.978553772, 25.5710639954, 21.5003967285, 35.1592178345, 50.9406814575, 14.6137542725, 10.114276886, 46.50182724, 19.2358951569, 12.3212890625]

[-876.043762207, 189.153167725, 84.0432128906, 61.3047637939, 41.1832771301, 22.440032959, 26.5376358032, 11.4432010651, 13.4298439026, 29.70952034, 23.8734397888, 20.4693241119, 15.2282791138]

[-777.450927734, 226.909393311, 83.5296020508, 82.8868331909, 60.1082344055, 19.026473999, 29.8470535278, 2.0756149292, 21.8521614075, 32.4456329346, 16.7995872498, 23.0750408173, 29.388256073]

[-796.900390625, 196.7550354, 57.0289039612, 33.3037910461, 17.1337585449, 22.1374359131, 34.1524429321, 8.46514320374, 17.2708320618, 6.57132911682, 16.6388168335, 26.9968128204, 1.92570495605]

[-599.03894043, 198.138916016, 38.8694992065, 122.347442627, 13.2901649475, 40.5880966187, 27.7358932495, 28.8685073853, 34.1913795471, 14.1036739349, 14.2719306946, 17.4072208405, 18.8130722046]

[-798.686828613, 136.157775879, 66.1051330566, 90.0436401367, 29.3580818176, 21.0447845459, 33.4673233032, 17.1817569733, 16.2794532776, 21.1942691803, 27.1127433777, 24.2831668854, 11.4174346924]

[-764.992126465, 181.982086182, 88.6564941406, 51.0323944092, 26.0087928772, 13.6597290039, 30.7313461304, 11.2669773102, 16.5517406464, 34.9414520264, 17.3542537689, 20.312746048, 13.8654556274]

[-858.81854248, 217.837890625, 103.158874512, 61.3261604309, 45.3682861328, 15.7134857178, 36.0015869141, 9.17107582092, 3.37056350708, 33.3693084717, 16.6827812195, 26.7719726562, 19.7313957214]

[-857.522521973, 181.405456543, 51.4212989807, 102.469718933, 48.4006538391, 13.7743835449, 39.9086074829, 25.1920413971, 15.9039115906, 39.2146453857, 17.1548423767, 31.4094257355, 41.7759971619]

[-822.897644043, 196.41418457, 103.948394775, 82.916305542, 28.1151313782, 30.5006103516, 32.9210586548, 20.5806369781, 1.48146057129, 29.0645923615, 28.7108421326, 16.1041965485, 17.7175750732]

[-787.076904297, 176.227264404, 38.0271949768, 66.4229278564, 41.6845283508, 40.4279174805, 31.9643783569, 2.35059356689, 21.5146217346, 3.59721374512, 17.6625213623, 26.4818134308, 13.9428634644]

[-799.129577637, 221.179504395, 87.0751800537, 78.7255706787, 33.9791069031, 20.7375659943, 39.336971283, 20.9907932281, -4.57763671875e-05, 32.0087814331, 24.8409156799, 19.7969379425, 18.8331871033]

[-902.372558594, 199.586517334, 106.821075439, 98.1507110596, 33.7894935608, 16.0574493408, 41.6279220581, 17.5800876617, 3.48834037781, 0.706478118896, 15.1992607117, 18.8959903717, 13.0547981262]

[-878.512207031, 192.667572021, 96.4424438477, 140.797424316, 39.4049110413, 19.9560546875, 41.4988327026, 65.8252410889, 16.1027946472, 2.75371551514, 24.5092811584, 17.2591190338, 27.2812728882]

[-800.178222656, 197.27633667, 82.8003234863, 104.365509033, 21.727432251, 31.3361206055, 43.9956588745, 44.9702377319, 15.8712730408, 11.2630310059, 30.3098945618, 30.9520893097, 38.0183067322]

[-797.690917969, 203.203674316, 100.168029785, 78.1794128418, 52.6046791077, 19.3178863525, 22.8481178284, 28.1402339935, 16.6240062714, 23.8763179779, 21.7097511292, 23.2258777618, 26.8138618469]

[-835.398193359, 197.403961182, 92.2403564453, 100.979537964, 42.4407844543, 57.32188797, 20.438709259, 25.4588718414, 14.3014259338, 19.9079227448, 21.9372749329, 28.2718982697, 23.4948272705]

[-799.734436035, 215.005401611, 69.6746520996, 41.4179267883, 35.73645401, 26.0778961182, 38.0079727173, 24.4573001862, 37.208530426, 18.8050022125, 27.2609977722, 24.9673404694, 17.0052337646]

[-689.200073242, 157.07711792, 43.436832428, 70.6995697021, 10.1274986267, 25.6649780273, 39.6147079468, 40.3935775757, 52.5552253723, 4.3198261261, 14.6628322601, 29.3895893097, 24.4082546234]

[-796.91418457, 207.301483154, 88.004699707, 92.5953292847, 64.5380706787, 12.8973770142, 20.9207496643, 38.1892127991, 15.2497634888, 27.3176746368, 37.7282218933, 46.3141098022, 21.6600952148]

[-790.445983887, 207.28237915, 94.8616485596, 96.1714859009, 65.2410888672, 27.9171962738, 33.0802764893, 15.3132572174, 13.5009288788, 23.6747913361, 22.1423225403, 20.5492115021, 21.4478683472]

[-796.188903809, 179.855743408, 75.7279129028, 85.6446914673, 60.9470367432, 17.8744792938, 47.1329269409, 22.5353488922, 6.17454910278, 16.7317848206, 15.1237297058, 23.4688262939, 13.5779151917]

